year,level_1,level_2,level_3,value
2015,46 - 60 mins,Total,Punggol,17.7
2015,46 - 60 mins,Total,Queenstown,6.2
2015,46 - 60 mins,Total,Sembawang,14.2
2015,46 - 60 mins,Total,Sengkang,32.5
2015,46 - 60 mins,Total,Serangoon,11.2
2015,46 - 60 mins,Total,Tampines,30
2015,46 - 60 mins,Total,Tanglin,0.5
2015,46 - 60 mins,Total,Toa Payoh,8.5
2015,46 - 60 mins,Total,Woodlands,35.5
2015,46 - 60 mins,Total,Yishun,30.3
2015,46 - 60 mins,Total,Others,1.5
2015,More than 60 mins,Total,Ang Mo Kio,7.7
2015,More than 60 mins,Total,Bedok,9.1
2015,More than 60 mins,Total,Bishan,2
2015,More than 60 mins,Total,Bukit Batok,6.7
2015,More than 60 mins,Total,Bukit Merah,4.1
2015,More than 60 mins,Total,Bukit Panjang,9.8
2015,More than 60 mins,Total,Bukit Timah,1.8
2015,More than 60 mins,Total,Choa Chu Kang,12.7
2015,More than 60 mins,Total,Clementi,2.2
2015,More than 60 mins,Total,Geylang,3.1
2015,More than 60 mins,Total,Hougang,8.2
2015,More than 60 mins,Total,Jurong East,3.2
2015,More than 60 mins,Total,Jurong West,14.3
2015,More than 60 mins,Total,Kallang,2.2
2015,More than 60 mins,Total,Marine Parade,1
2015,More than 60 mins,Total,Novena,0.9
2015,More than 60 mins,Total,Outram,0.4
2015,More than 60 mins,Total,Pasir Ris,9.5
2015,More than 60 mins,Total,Punggol,4.5
2015,More than 60 mins,Total,Queenstown,2
2015,More than 60 mins,Total,Sembawang,6.6
2015,More than 60 mins,Total,Sengkang,9.4
2015,More than 60 mins,Total,Serangoon,3.8
2015,More than 60 mins,Total,Tampines,15.7
2015,More than 60 mins,Total,Tanglin,0.1
2015,More than 60 mins,Total,Toa Payoh,2.7
2015,More than 60 mins,Total,Woodlands,21
2015,More than 60 mins,Total,Yishun,14.5
2015,More than 60 mins,Total,Others,0.5
